,VillaName,Features,Rating,Total_Review,Rating_Info,Location,URL,Currency,PriceValue,Area
23,Lavanya Ubud Romantic Villas,"['Bicycle rental', 'Car rental', 'Kitchenette', 'Pool sun loungers']",9.3,50.0,Superb,"Ubud, Gianyar",www.traveloka.com/en-en/hotel/indonesia/lavanya-ubud-romantic-villas-9000000928807,USD,64.59,Ubud
24,The Sakaye Villas & Spa,"['Show cooking restaurant', 'Massage', 'Kitchenette', 'Airport transfer', 'Spa']",8.8,188.0,Impressive,"Legian, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-sakaye-villas--spa-3000020018011,USD,81.8,Legian
25,Pinggala Villa Ubud,"['Massage', 'Express check-out', 'Spa']",9.5,50.0,Superb,"Sebatu, Tegallalang",www.traveloka.com/en-en/hotel/indonesia/pinggala-villa-ubud-9000001107895,USD,56.48,Others
26,The Mavila,"['Clothes dryer', 'Kitchenette']",9.1,308.0,Superb,"Sanur, Bali",www.traveloka.com/en-en/hotel/indonesia/the-mavila-9000000620740,USD,111.77,Sanur
27,The Saren,"['Massage', 'Airport transfer', 'Spa', 'Bar']",9.3,40.0,Superb,"Tanah Lot, Tabanan",www.traveloka.com/en-en/hotel/indonesia/the-saren-9000000883085,USD,60.22,Others
28,Paisa Seminyak Living,"['Shopping center shuttle', 'Massage', 'Beach umbrella', 'Spa']",8.5,485.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/paisa-seminyak-living-3000020017047,USD,62.04,Seminyak
29,Kaisa Villas Seminyak,"['Kitchenette', 'Rooftop terrace', 'Airport transfer']",9.1,108.0,Superb,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/kaisa-villas-seminyak-9000000974163,USD,111.07,Seminyak
30,La Numa Canggu Villas,"['Car rental', 'Beach towel', 'Express check-out']",9.0,27.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/la-numa-canggu-villas-9000000667661,USD,124.2,Canggu
31,Gaing Mas Jimbaran Villas by Gaing Mas Group,"['Pool cabanas', 'Massage', 'Kitchenette', 'Fitness center', 'Spa', 'Bar']",8.7,154.0,Impressive,"Jimbaran, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/gaing-mas-jimbaran-villas-by-gaing-mas-group-3000010015411,USD,50.49,Jimbaran
32,Nunamkhalu Private Villas & Spa,"['Beach shuttle', 'Bicycle rental', 'Beach towel', 'Kitchenette', 'Airport transfer', 'Bar']",9.3,183.0,Superb,"Kutuh, Uluwatu",www.traveloka.com/en-en/hotel/indonesia/nunamkhalu-private-villas--spa-9000000189652,USD,74.18,Uluwatu
33,Astera Villa Seminyak by Ini Vie Hospitality,"['Beach shuttle', 'Beach towel', 'Massage', 'Kitchenette', 'Small pets allowed', 'Spa']",9.0,234.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/astera-villa-seminyak-by-ini-vie-hospitality-9000000459474,USD,118.57,Seminyak
34,The Akasha Seminyak Luxury Villas,"['Bicycle rental', 'Car rental', 'Massage', 'Kitchenette', 'Pool sun loungers', 'Spa']",8.7,38.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-akasha-seminyak-luxury-villas-2000000184070,USD,234.44,Seminyak
35,Lasanti Villas Seminyak,"['Car rental', 'Massage', 'Kitchenette']",8.9,331.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/lasanti-villas-seminyak-2000000233291,USD,100.98,Seminyak
36,Hideaway Residence Bali Ungasan by Kanaan Hospitality,"['Show cooking restaurant', 'Massage', 'Kitchenette', 'Express check-out', 'Spa', 'Bar']",9.0,98.0,Impressive,"Ungasan, Uluwatu",www.traveloka.com/en-en/hotel/indonesia/hideaway-residence-bali-ungasan-by-kanaan-hospitality-3000020010413,USD,87.49,Uluwatu
37,Grün Canggu - Garden,"['Parasol', 'Sun loungers', 'Car rental', 'Kitchenette', 'Pool sun loungers']",8.9,67.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/grn-canggu---garden-9000000809397,USD,74.49,Canggu
38,Samaja Villas Kunti,"['Winery', 'Massage', 'Pool sun loungers', 'Spa', 'Bar']",8.6,577.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/samaja-villas-kunti-545290,USD,108.26,Seminyak
39,S18 Bali Villas,"['Shopping center shuttle', 'Beach shuttle', 'Massage', 'Business facilities', 'Wheelchair accessible']",9.0,202.0,Impressive,"Legian, Kuta",www.traveloka.com/en-en/hotel/indonesia/s18-bali-villas-3000010033416,USD,120.13,Legian
40,Luxotic Private Villa and Resort,"['Car rental', 'Massage', 'Kitchenette', 'Pool sun loungers']",8.8,26.0,Impressive,"Nusa Dua, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/luxotic-private-villa-and-resort-1000000469547,USD,79.59,Nusa Dua
41,Bali Corail Villa,"['Bicycle rental', 'Massage', 'Airport transfer']",8.6,337.0,Impressive,"West Denpasar, Denpasar",www.traveloka.com/en-en/hotel/indonesia/bali-corail-villa-3000010001829,USD,40.76,Denpasar
42,K Club Ubud,['N/A'],9.1,25.0,Superb,"Tegallalang, Ubud",www.traveloka.com/en-en/hotel/indonesia/k-club-ubud-9000000927671,USD,316.93,Ubud
43,Sana Vie Villa Seminyak by Ini Vie Hospitality,"['Kitchenette', 'Small pets allowed']",9.0,190.0,Impressive,"Kerobokan, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/sana-vie-villa-seminyak-by-ini-vie-hospitality-3000020004151,USD,162.94,Others
44, Villa Canggu by Plataran,"['Outdoor facilities', 'Massage', 'Fitness center', 'Wheelchair accessible', 'Express check-out', 'Bar']",9.0,58.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/-villa-canggu-by-plataran-255344,USD,118.28,Canggu
45,Menjangan Dynasty Resort,"['Snorkeling', 'Canoeing', 'Horse riding', 'Diving', 'Beach sun loungers', 'Bar']",9.1,135.0,Superb,"Menjangan, Buleleng",www.traveloka.com/en-en/hotel/indonesia/menjangan-dynasty-resort-1000000608243,USD,156.45,Others
46,The Miracle Villa Nusa Dua,"['Fishing', 'Diving', 'Golf', 'Golf course', 'Kitchenette', 'Rooftop terrace']",9.1,70.0,Superb,"Nusa Dua, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/the-miracle-villa-nusa-dua-3000020011967,USD,165.75,Nusa Dua
47,Villa Raka,['Kitchenette'],9.1,20.0,Superb,"Legian, Kuta",www.traveloka.com/en-en/hotel/indonesia/villa-raka-3000020017554,USD,86.01,Legian
48,Vinna Villa Seminyak,"['Sun loungers', 'Beach towel', 'Massage', 'Kitchenette', 'Pool sun loungers', 'Express check-out']",9.1,49.0,Superb,"Kerobokan, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/vinna-villa-seminyak-9000000122572,USD,83.87,Others
49,Mount Batur Villa,"['Outdoor facilities', 'Car rental', 'Express check-out']",8.7,186.0,Impressive,"Kintamani, Bangli",www.traveloka.com/en-en/hotel/indonesia/mount-batur-villa-9000000654257,USD,35.82,Others
50,Lavina Ubud Villas,"['Bicycle rental', 'Car rental', 'Kitchenette', 'Pool sun loungers']",8.6,6.0,Impressive,"Ubud, Gianyar",www.traveloka.com/en-en/hotel/indonesia/lavina-ubud-villas-9000000974178,USD,103.43,Ubud
51,Taman Dharmawangsa Suites,"['Nightclub', 'Car rental', 'Kitchenette', 'Fitness center', 'Bar']",9.2,59.0,Superb,"Nusa Dua, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/taman-dharmawangsa-suites-9000001049559,USD,134.8,Nusa Dua
52,Aksari Villa Seminyak by Ini Vie Hospitality,"['Beach shuttle', 'Hot tub', 'Beach towel', 'Massage', 'Kitchenette', 'Small pets allowed']",8.9,326.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/aksari-villa-seminyak-by-ini-vie-hospitality-3000010025119,USD,133.09,Seminyak
53,Aeera Villa Canggu by Ini Vie Hospitality,"['Pets allowed', 'Kitchenette', 'Small pets allowed', 'Pool sun loungers']",9.0,123.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/aeera-villa-canggu-by-ini-vie-hospitality-9000000928119,USD,55.07,Canggu
54,Jeeva Saba,"['Cycling', 'Massage', 'Fitness center', 'Billiard', 'Game room', 'Library']",8.8,35.0,Impressive,"Saba, Keramas",www.traveloka.com/en-en/hotel/indonesia/jeeva-saba-546510,USD,1570.62,Others
55,Freddies Villas Ubud Bali,"['Airport transfer', 'Pool sun loungers', 'Spa', 'Bar']",8.7,506.0,Impressive,"Ubud, Gianyar",www.traveloka.com/en-en/hotel/indonesia/freddies-villas-ubud-bali-3000020015374,USD,36.02,Ubud
56,Ayona Villa Seminyak by Ini Vie Hospitality,"['Beach towel', 'Kitchenette', 'Rooftop terrace', 'Small pets allowed', 'Pool sun loungers']",8.9,100.0,Impressive,"Umalas, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/ayona-villa-seminyak-by-ini-vie-hospitality-9000000101762,USD,154.21,Umalas
57,Hanging Gardens Of Bali,"['Cycling', 'Outdoor facilities', 'Massage', 'Library', 'Express check-out', 'Bar']",8.5,30.0,Impressive,"Payangan, Ubud",www.traveloka.com/en-en/hotel/indonesia/hanging-gardens-of-bali-48720,USD,722.65,Ubud
58,Akhyana Village,"['Banana boat', 'Waterskiing', 'Jet ski', 'Windsurfing', 'Canoeing', 'Diving']",8.6,272.0,Impressive,"Ungasan, Uluwatu",www.traveloka.com/en-en/hotel/indonesia/akhyana-village-3000020016743,USD,64.9,Uluwatu
59,Vinila Villas Nusa Dua by Nakula,['Kitchenette'],8.8,36.0,Impressive,"Nusa Dua, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/vinila-villas-nusa-dua-by-nakula-9000000690848,USD,235.53,Nusa Dua
60,Pangkung Carik Villas by Pramana,"['Massage', 'Express check-out', 'Picnic area']",8.8,35.0,Impressive,"Kemenuh, Ubud",www.traveloka.com/en-en/hotel/indonesia/pangkung-carik-villas-by-pramana-9000000984613,USD,58.23,Ubud
61,Elevate Bali,"['Canoeing', 'Diving', 'Massage', 'Airport transfer', 'Express check-out', 'Bar']",9.8,6.0,Superb,"Munduk, Buleleng",www.traveloka.com/en-en/hotel/indonesia/elevate-bali-9000000987459,USD,313.7,Others
62,makali Temple Village,['N/A'],8.8,35.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/makali-temple-village-9000001192079,USD,229.29,Canggu
63,Kayumanis Ubud Private Villa & Spa,"['Bicycle rental', 'Car rental', 'Massage', 'Spa']",9.0,41.0,Impressive,"Sayan, Ubud",www.traveloka.com/en-en/hotel/indonesia/kayumanis-ubud-private-villa--spa-65517,USD,376.1,Ubud
64,"FuramaXclusive Resort & Villas, Ubud","['Show cooking restaurant', 'Cycling', 'Outdoor facilities', 'Massage', 'Poolside bar', 'Bar']",8.7,78.0,Impressive,"Abiansemal, Badung",www.traveloka.com/en-en/hotel/indonesia/furamaxclusive-resort--villas-ubud-69693,USD,75.13,Others
65,Kumpul Kumpul Villa Seminyak,"['Airport transfer', 'Beach umbrella', 'Pool sun loungers', 'Spa']",9.2,6.0,Superb,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/kumpul-kumpul-villa-seminyak-289093,USD,80.24,Seminyak
66,Menjangan Dynasty Resort,"['Snorkeling', 'Canoeing', 'Horse riding', 'Diving', 'Beach sun loungers', 'Bar']",9.1,135.0,Superb,"Menjangan, Buleleng",www.traveloka.com/en-en/hotel/indonesia/menjangan-dynasty-resort-1000000608243,USD,156.45,Others
67,Regali Villas ,"['Surfing', 'Limo or town car service', 'Car rental', 'Massage', 'Spa']",8.2,11.0,Convenient,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/regali-villas--3000010010058,USD,99.2,Canggu
68,Aishwarya Exclusive Villas,"['Show cooking restaurant', 'Hot tub', 'Beach towel', 'Massage', 'Kitchenette', 'Express check-out']",8.0,821.0,Convenient,"Ketewel, Keramas",www.traveloka.com/en-en/hotel/indonesia/aishwarya-exclusive-villas-3000010016872,USD,39.39,Others
69,Aksari Villa Seminyak by Ini Vie Hospitality,"['Beach shuttle', 'Hot tub', 'Beach towel', 'Massage', 'Kitchenette', 'Small pets allowed']",8.9,326.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/aksari-villa-seminyak-by-ini-vie-hospitality-3000010025119,USD,133.09,Seminyak
70,Villa Teman,"['Parasol', 'Beach towel', 'Massage', 'Kitchenette', 'Pool sun loungers', 'Spa']",8.9,15.0,Impressive,"Lovina, Buleleng",www.traveloka.com/en-en/hotel/indonesia/villa-teman-3000020006679,USD,194.33,Others
71,Black Penny Villas Ubud,"['Cycling', 'Massage', 'Express check-out', 'Bar']",8.9,17.0,Impressive,"Kedewatan, Ubud",www.traveloka.com/en-en/hotel/indonesia/black-penny-villas-ubud-3000020013980,USD,235.21,Ubud
72,Three Gold Luxury Private Villas,"['Outdoor facilities', 'Car rental', 'Massage']",9.0,26.0,Impressive,"Tegallalang, Ubud",www.traveloka.com/en-en/hotel/indonesia/three-gold-luxury-private-villas-3000020015975,USD,99.9,Ubud
73,Villa Casablanca Surf Keramas,"['Show cooking restaurant', 'Winery', 'Massage', 'Poolside bar', 'Wheelchair accessible', 'Bar']",8.4,8.0,Impressive,"Keramas, Gianyar",www.traveloka.com/en-en/hotel/indonesia/villa-casablanca-surf-keramas-9000000133867,USD,52.6,Others
74,Villa Pantai Karang ,['N/A'],8.8,35.0,Impressive,"Sanur, Bali",www.traveloka.com/en-en/hotel/indonesia/villa-pantai-karang--9000000458925,USD,204.07,Sanur
75,Villa DeDayuh Seminyak,['N/A'],8.8,35.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/villa-dedayuh-seminyak-9000000495232,USD,227.86,Seminyak
76,The Catur Villa Seminyak,['Car rental'],8.6,231.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-catur-villa-seminyak-9000000786611,USD,73.04,Seminyak
77,The Saren,"['Massage', 'Airport transfer', 'Spa', 'Bar']",9.3,40.0,Superb,"Tanah Lot, Tabanan",www.traveloka.com/en-en/hotel/indonesia/the-saren-9000000883085,USD,60.22,Others
78,Giri Bhagawan Villas & Spa,"['Massage', 'Kitchenette', 'Wheelchair accessible', 'Pool sun loungers', 'Sauna', 'Spa']",8.8,35.0,Impressive,"Nusa Dua, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/giri-bhagawan-villas--spa-9000000973032,USD,157.55,Nusa Dua
79,Villa Cella Bella,['N/A'],8.8,35.0,Impressive,"Kemenuh, Ubud",www.traveloka.com/en-en/hotel/indonesia/villa-cella-bella-9000001023410,USD,621.62,Ubud
80,Beautiful Bali Villas,"['Clothes dryer', 'Bicycle rental', 'Car rental', 'Massage', 'Kitchenette', 'Wheelchair accessible']",8.6,107.0,Impressive,"Legian, Kuta",www.traveloka.com/en-en/hotel/indonesia/beautiful-bali-villas-433000,USD,143.9,Legian
81,Thantha Ubud Villa,['N/A'],8.1,158.0,Convenient,"Ubud, Gianyar",www.traveloka.com/en-en/hotel/indonesia/thantha-ubud-villa-3000020008461,USD,42.21,Ubud
82,The Decks Bali,"['Sun loungers', 'Bicycle rental', 'Car rental', 'Beach towel', 'Massage']",8.8,143.0,Impressive,"Legian, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-decks-bali-3000010004230,USD,106.35,Legian
83,Earth Villa Canggu by Ini Vie Hospitality,['Kitchenette'],8.8,35.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/earth-villa-canggu-by-ini-vie-hospitality-9000005503672,USD,112.98,Canggu
84,Cove Villa Prana,['N/A'],8.5,236.0,Impressive,"Jimbaran, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/cove-villa-prana-3000020014841,USD,28.68,Jimbaran
85,The Jineng Villas by Ekosistem,['N/A'],8.9,222.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-jineng-villas-by-ekosistem-9000000690894,USD,102.78,Seminyak
86,Kmana Villas,"['Clothes dryer', 'Pets allowed', 'Kitchenette', 'Airport transfer', 'Small pets allowed']",8.8,35.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/kmana-villas-9000003279948,USD,97.63,Seminyak
87,Nyaman Villas,"['Show cooking restaurant', 'Massage', 'Kitchenette', 'Airport transfer', 'Express check-out', 'Bar']",8.8,35.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/nyaman-villas-1000000473656,USD,1382.37,Seminyak
88,Amara Villa Umalas Bali,"['Show cooking restaurant', 'Beach towel', 'Massage', 'Beach umbrella', 'Wheelchair accessible', 'Express check-out']",8.5,53.0,Impressive,"Umalas, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/amara-villa-umalas-bali-3000020016252,USD,196.62,Umalas
89,"Uli Wood Villa, Jimbaran BALI - near GWK","['Braille or raised signage', 'Sun loungers', 'Bicycle rental', 'Airport transfer', 'Pool sun loungers', 'Express check-out']",8.8,8.0,Impressive,"Jimbaran, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/uli-wood-villa-jimbaran-bali---near-gwk-9000003312842,USD,13.02,Jimbaran
90,Maca Villas & Spa,"['Babysitting', 'Massage', 'Spa', 'Bar']",9.0,166.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/maca-villas--spa-264248,USD,182.25,Seminyak
91,Radea Villa,['Express check-out'],8.6,77.0,Impressive,"Umalas, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/radea-villa-9000000631376,USD,49.16,Umalas
92,The Jas Villas,"['Car rental', 'Beach towel', 'Massage', 'Kitchenette', 'Spa', 'Bar']",8.2,394.0,Convenient,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/the-jas-villas-240073,USD,82.94,Seminyak
93,Karana Villa Bali,"['Babysitting', 'Car rental', 'Massage', 'Kitchenette', 'Airport transfer', 'Express check-out']",7.9,429.0,Convenient,"West Denpasar, Denpasar",www.traveloka.com/en-en/hotel/indonesia/karana-villa-bali-487204,USD,38.94,Denpasar
94,The Jimbaran Villa by Ini Vie Hospitality,"['Kitchenette', 'Rooftop terrace', 'Small pets allowed', 'Pool sun loungers']",8.9,153.0,Impressive,"Jimbaran, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/the-jimbaran-villa-by-ini-vie-hospitality-3000020015022,USD,119.54,Jimbaran
95,Fenosa Seminyak Villas by Nagisa Bali,['Kitchenette'],8.8,5.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/fenosa-seminyak-villas-by-nagisa-bali-9000001063929,USD,197.93,Seminyak
96,Bali Rich Villas Seminyak,"['Show cooking restaurant', 'Massage', 'Kitchenette', 'Sauna', 'Spa', 'Bar']",7.1,95.0,Convenient,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/bali-rich-villas-seminyak-99059,USD,44.34,Seminyak
97,Gending Kedis Luxury Villas & Spa Estate,"['Massage', 'Kitchenette', 'Fitness center', 'Poolside bar', 'Spa', 'Bar']",8.8,20.0,Impressive,"Jimbaran, Kuta Selatan",www.traveloka.com/en-en/hotel/indonesia/gending-kedis-luxury-villas--spa-estate-100261,USD,214.18,Jimbaran
98,Ayona Villa Canggu by Ini Vie Hospitality,"['Winery', 'Sun loungers', 'Kitchenette', 'Fitness center', 'Spa']",10.0,5.0,Superb,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/ayona-villa-canggu-by-ini-vie-hospitality-9000002458436,USD,134.03,Canggu
99,"SOTIS Villa Canggu, Bali","['Beach shuttle', 'Cycling', 'Diving', 'Babysitting', 'Bicycle rental', 'Car rental']",8.6,31.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/sotis-villa-canggu-bali-3000010009991,USD,106.32,Canggu
100,The Saren,"['Massage', 'Airport transfer', 'Spa', 'Bar']",9.3,40.0,Superb,"Tanah Lot, Tabanan",www.traveloka.com/en-en/hotel/indonesia/the-saren-9000000883085,USD,60.22,Others
101,C151 Smart Villas at Seminyak,"['Hot tub', 'Kitchenette', 'Beach umbrella', 'Hot tub', 'Pool sun loungers', 'Spa']",8.6,114.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/c151-smart-villas-at-seminyak-97582,USD,227.05,Seminyak
102,Villa Coco,"['Car rental', 'Kitchenette', 'Poolside bar', 'Bar']",8.8,35.0,Impressive,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/villa-coco-97600,USD,67.28,Seminyak
103, Villa Canggu by Plataran,"['Outdoor facilities', 'Massage', 'Fitness center', 'Wheelchair accessible', 'Express check-out', 'Bar']",9.0,58.0,Impressive,"Canggu, Kuta Utara",www.traveloka.com/en-en/hotel/indonesia/-villa-canggu-by-plataran-255344,USD,118.28,Canggu
104,Javana Royal Villas,"['Beach shuttle', 'Rooftop terrace', 'Airport transfer', 'Spa']",9.2,46.0,Superb,"Seminyak, Kuta",www.traveloka.com/en-en/hotel/indonesia/javana-royal-villas-339134,USD,178.11,Seminyak
